Ticker,Title,First Touch Price (¢),Time_To_Close_Hours,Prediction Correct,First Touch Time,Market Close Time
KXWTAMATCH-26FEB11KALSVI-KAL,Will Anna Kalinskaya win the Kalinskaya vs Svitolina : Round Of 16 match?,90,0.09392761638888888,CORRECT,2026-02-11T21:15:45.860581Z,2026-02-11T21:21:24Z
KXWTAMATCH-26FEB11ZHERYB-RYB,Will Elena Rybakina win the Zheng vs Rybakina : Round Of 16 match?,90,0.05161154444444444,CORRECT,2026-02-11T19:43:23.19844Z,2026-02-11T19:46:29Z
KXWTAMATCH-26FEB11OSTOSO-OST,Will Jelena Ostapenko win the Ostapenko vs Osorio : Round Of 16 match?,90,0.40063403472222225,CORRECT,2026-02-11T12:58:01.717475Z,2026-02-11T13:22:04Z
KXWTAMATCH-26FEB11SWIKAS-SWI,Will Iga Swiatek win the Swiatek vs Kasatkina : Round Of 16 match?,90,0.7370451369444445,CORRECT,2026-02-11T16:18:17.637507Z,2026-02-11T17:02:31Z
KXWTAMATCH-26FEB11GRASAK-SAK,Will Maria Sakkari win the Gracheva vs Sakkari : Round Of 16 match?,90,0.3195772711111111,CORRECT,2026-02-11T11:22:44.521824Z,2026-02-11T11:41:55Z
KXWTAMATCH-26FEB11ANDMBO-MBO,Will Victoria Mboko win the Andreeva vs Mboko : Round Of 16 match?,91,0.1484268538888889,CORRECT,2026-02-11T14:17:22.663326Z,2026-02-11T14:26:17Z
KXWTAMATCH-26FEB11ANNCOC-COC,Will Elisabetta Cocciaretto win the Li vs Cocciaretto : Round Of 16 match?,91,0.13824092083333334,CORRECT,2026-02-11T13:33:15.332685Z,2026-02-11T13:41:33Z
KXWTAMATCH-26FEB11ANNCOC-ANN,Will Ann Li win the Li vs Cocciaretto : Round Of 16 match?,90,0.4542144286111111,WRONG,2026-02-11T13:14:17.828057Z,2026-02-11T13:41:33Z
KXWTAMATCH-26FEB10OSOSIN-OSO,Will Camila Osorio win the Osorio vs Siniakova : Round Of 32 match?,90,0.1333677036111111,CORRECT,2026-02-10T16:18:22.876267Z,2026-02-10T16:26:23Z
KXWTAMATCH-26FEB10NAVKAL-KAL,Will Anna Kalinskaya win the Navarro vs Kalinskaya : Round Of 32 match?,90,0.23711526722222223,CORRECT,2026-02-10T19:07:58.385038Z,2026-02-10T19:22:12Z
