Ticker,Title,First Touch Price (¢),Time_To_Close_Hours,Prediction Correct,First Touch Time,Market Close Time
KXATPMATCH-26FEB11FRINAK-FRI,Will Taylor Fritz win the Fritz vs Nakashima : Round Of 16 match?,90,0.34508281777777783,CORRECT,2026-02-12T02:00:46.701856Z,2026-02-12T02:21:29Z
KXATPMATCH-26FEB11KOPBER-KOP,Will Vit Kopriva win the Kopriva vs Berrettini : Round Of 16 match?,91,0.23178921944444444,CORRECT,2026-02-11T21:37:29.55881Z,2026-02-11T21:51:24Z
KXATPMATCH-26FEB10KOVKYP-KOV,Will Aleksandar Kovacevic win the Kovacevic vs Kypson : Round Of 32 match?,91,0.2766556319444444,CORRECT,2026-02-11T02:49:33.039725Z,2026-02-11T03:06:09Z
KXATPMATCH-26FEB11MICDAV-DAV,Will Alejandro Davidovich Fokina win the Michelsen vs Davidovich Fokina : Round Of 16 match?,92,0.5190059558333333,CORRECT,2026-02-11T21:40:33.578559Z,2026-02-11T22:11:42Z
KXATPMATCH-26FEB11KORTIA-KOR,Will Sebastian Korda win the Korda vs Tiafoe : Round Of 16 match?,90,0.2717847875,CORRECT,2026-02-12T03:35:01.574765Z,2026-02-12T03:51:20Z
KXATPMATCH-26FEB11OCONOR-OCO,Will Christopher O'Connell win the O'Connell vs Norrie : Round Of 16 match?,90,0.450203115,CORRECT,2026-02-11T16:44:27.268786Z,2026-02-11T17:11:28Z
KXATPMATCH-26FEB10SHAJOD-SHA,Will Denis Shapovalov win the Shapovalov vs Jodar : Round Of 32 match?,90,0.7179301091666667,CORRECT,2026-02-11T04:48:30.451607Z,2026-02-11T05:31:35Z
KXATPMATCH-26FEB10COBPIN-PIN,Will Jack Pinnington Jones win the Cobolli vs Pinnington Jones : Round Of 32 match?,90,0.3579291027777778,CORRECT,2026-02-10T22:20:24.45523Z,2026-02-10T22:41:53Z
KXATPMATCH-26FEB10SHIKEC-KEC,Will Miomir Kecmanovic win the Shimabukuro vs Kecmanovic : Round Of 32 match?,90,0.14681062444444443,CORRECT,2026-02-10T21:27:34.481752Z,2026-02-10T21:36:23Z
KXATPMATCH-26FEB10BUSPAS-BUS,Will Ignacio Buse win the Buse vs Passaro : Round Of 32 match?,90,0.2453782675,CORRECT,2026-02-10T22:36:59.638237Z,2026-02-10T22:51:43Z
